Brand,Name,Model,Core,RAM,SSD,Discounted Price,Actual Price,Saving,Rating,Reviews
Apple,APPLE MACBOOK AIR 13 MGN63,MACBOOK AIR 13 MGN63,M1,8GB,256GB SSD,203499.0,258000.0,21,5.0,2.0
Apple,APPLE MACBOOK AIR 13 MW123,MACBOOK AIR 13 MW123,M4,Unknown,Unknown,281999.0,350000.0,19,4.3,5.0
ASUS,ASUS ZENBOOK 14 UX3405CA,ZENBOOK 14 UX3405CA,ULTRA 7,16GB,512GB SSD,285999.0,330000.0,13,0.0,0.0
Lenovo,LENOVO THINKPAD E16 GEN 2,THINKPAD E16 GEN 2,ULTRA 7,16GB,512GB SSD,287999.0,340000.0,15,0.0,0.0
Lenovo,LENOVO IDEAPAD SLIM 3,IDEAPAD SLIM 3,RYZEN 7,8GB,512GB SSD,146999.0,175000.0,16,0.0,0.0
HP,HP 250 G10 N305,250 G10 N305,CORE I3,8GB,512GB SSD,115999.0,144999.0,20,0.0,0.0
Dell,DELL LATITUDE 3540 15.6,LATITUDE 3540 15.6,CORE I5,8GB,256GB SSD,169999.0,249999.0,32,5.0,1.0
Dell,DELL LATITUDE 15 5540,LATITUDE 15 5540,CORE I7,8GB,512GB SSD,343999.0,415000.0,17,0.0,0.0
Dell,DELL LATITUDE 15 3540,LATITUDE 15 3540,CORE I7,8GB,512GB SSD,251999.0,320000.0,21,0.0,0.0
Lenovo,LENOVO IDEAPAD SLIM 3,IDEAPAD SLIM 3,CORE I5,Unknown,Unknown,134999.0,174999.0,23,5.0,2.0
HP,HP PROBOOK 450 G10 1335U,PROBOOK 450 G10 1335U,CORE I5,Unknown,Unknown,179999.0,200000.0,10,3.0,1.0
Lenovo,LENOVO THINKPAD E16 G1,THINKPAD E16 G1,CORE I7,8GB,512GB SSD,277999.0,300000.0,7,0.0,0.0
Lenovo,LENOVO LOQ,LOQ,CORE I7,16GB,512GB SSD,324999.0,380000.0,14,0.0,0.0
HP,HP 15S FQ2653TU,15S FQ2653TU,CORE I7,8GB,512GB SSD,160999.0,180000.0,11,0.0,0.0
HP,HP OMEN 16WD0073DX,OMEN 16WD0073DX,CORE I7,16GB,1TB SSD,365999.0,390000.0,6,0.0,0.0
HP,HP SPECTRE 16AA0013DX ULTRA 7 155U 16,SPECTRE 16AA0013DX ULTRA 7 155U 16,ULTRA 7,16GB,1TB SSD,469999.0,520000.0,10,0.0,0.0
HP,HP PROBOOK 460 G11 ULTRA 7 155U,PROBOOK 460 G11 ULTRA 7 155U,ULTRA 7,8GB,512GB SSD,251999.0,310000.0,19,0.0,0.0
HP,HP OMEN 16AP0167AX,OMEN 16AP0167AX,RYZEN 9,16GB,512GB SSD,419999.0,499999.0,16,0.0,0.0
Lenovo,LENOVO THINKPAD E14,THINKPAD E14,ULTRA 5,8GB,512GB SSD,244999.0,295000.0,17,0.0,0.0
HP,HP 15FD0499NIA,15FD0499NIA,CORE I5,8GB,512GB SSD,143999.0,180000.0,20,0.0,0.0
HP,HP PROBOOK 440 G10 1335U,PROBOOK 440 G10 1335U,CORE I5,Unknown,Unknown,187999.0,250000.0,25,0.0,0.0
HP,HP ENVY 16 H1010TX GEN 13TH,ENVY 16 H1010TX GEN 13TH,CORE I7,Unknown,Unknown,411999.0,450000.0,8,0.0,0.0
Dell,DELL INSPIRON 14 7440 2 IN 1 CORE 5 120U,INSPIRON 14 7440 2 IN 1 CORE 5 120U,Unknown,Unknown,Unknown,181999.0,250000.0,27,0.0,0.0
HP,HP ELITEBOOK 640 G11 ULTRA 5 125U,ELITEBOOK 640 G11 ULTRA 5 125U,ULTRA 5,Unknown,Unknown,252999.0,280000.0,10,0.0,0.0
HP,HP SPECTRE 14EU0000 ULTRA 7 OLED PLUS HP PEN,SPECTRE 14EU0000 ULTRA 7 OLED PLUS HP PEN,ULTRA 7,32GB,2TB SSD,519999.0,550000.0,5,0.0,0.0
Infinix,INFINIX INBOOK AIR 1215U,INBOOK AIR,CORE I3,8GB,256GB SSD,119999.0,129999.0,8,0.0,0.0
HP,HP 15 FD0361TU RAPTOR LAKE 1334U,15 FD0361TU RAPTOR LAKE 1334U,CORE I5,Unknown,Unknown,151999.0,151999.0,0,0.0,0.0
HP,HP PROBOOK 450 G10 RAPTOR LAKE 1334U 8GB512GB SSD,PROBOOK 450 G10 RAPTOR LAKE 1334U 8GB512GB SSD,CORE I5,8GB,512GB SSD,179999.0,199999.0,10,0.0,0.0
Acer,ACER NITRO V15 13620H,NITRO V15 13620H,CORE I7,16GB,512GB SSD,260999.0,289999.0,10,0.0,0.0
DELL,DELL LATTITUDE 5550 CORE ULTRA 7 155U,LATTITUDE 5550 CORE ULTRA 7 155U,ULTRA 7,8GB,512GB SSD,359999.0,379999.0,5,0.0,0.0
LENOVO,LENOVO THINKPAD E14 G4 1355U,THINKPAD E14 G4 1355U,CORE I7,8GB,512GB SSD,267999.0,280000.0,4,0.0,0.0
Lenovo,LENOVO LEGION 5 14TH 14650HX,LEGION 5 14TH 14650HX,CORE I7,16GB,1TB SSD,431999.0,450000.0,4,0.0,0.0
Dell,DELL LATITUDE 3550 RAPTOR LAKE 1355U,LATITUDE 3550 RAPTOR LAKE 1355U,CORE I7,8GB,512GB SSD,249999.0,304999.0,18,0.0,0.0
HP,HP OMNIBOOK 14 FM0013DX CORE ULTRA 5 226V,OMNIBOOK 14 FM0013DX CORE ULTRA 5 226V,M0,16GB,512GB SSD,215999.0,270000.0,20,0.0,0.0
LENOVO,LENOVO LOQ 15,LOQ 15,CORE I7,Unknown,Unknown,401999.0,449000.0,10,0.0,0.0
HP,HP OMNIBOOK X FLIP 14FM0023DX CORE ULTRA 7 256V,OMNIBOOK X FLIP 14FM0023DX CORE ULTRA 7 256V,M0,16GB,1TB SSD,259999.0,290000.0,10,0.0,0.0
ASUS,ASUS TUF GAMING F15FX507VU,TUF GAMING F15FX507VU,CORE I7,16GB,512GB SSD,319999.0,365000.0,12,0.0,0.0
Lenovo,LENOVO LEGION PRO 7 ULTRA 9275HX RTX 5070TI 12GB 240HZ,LEGION PRO 7 ULTRA 9275HX RTX 5070TI 12GB 240HZ,ULTRA 9,32GB,2TB SSD,992999.0,1040000.0,5,0.0,0.0
